x,y
0.00353553,50.0035
0.00707106,50.0071
0.0106066,50.0106
0.0141421,50.0141
0.0176776,50.0177
0.0212131,50.0212
0.0247485,50.0247
0.028284,50.0283
0.0318195,50.0318
0.0353549,50.0354
0.0388903,50.0389
0.0424258,50.0424
0.0459612,50.046
0.0494966,50.0495
0.053032,50.053
0.0565674,50.0566
0.0601028,50.0601
0.0636381,50.0636
0.0671735,50.0672
0.0707089,50.0707
0.0742442,50.0742
0.0777795,50.0778
0.0813149,50.0813
0.0848502,50.0848
0.0883855,50.0884
0.0919208,50.0919
0.095456,50.0954
0.0989913,50.099
0.102527,50.1025
0.106062,50.106
0.109597,50.1096
0.113132,50.1131
0.116668,50.1166
0.120203,50.1201
0.123738,50.1237
0.127273,50.1272
0.130808,50.1307
0.134344,50.1343
0.137879,50.1378
0.141414,50.1413
0.144949,50.1449
0.148484,50.1484
0.152019,50.1519
0.155554,50.1555
0.15909,50.159
0.162625,50.1625
0.16616,50.1661
0.169695,50.1696
0.17323,50.1731
0.176765,50.1766
0.1803,50.1802
0.183835,50.1837
0.18737,50.1872
0.190905,50.1908
0.19444,50.1943
0.197975,50.1978
0.20151,50.2014
0.205045,50.2049
0.20858,50.2084
0.212115,50.2119
0.21565,50.2155
0.219185,50.219
0.22272,50.2225
0.226255,50.2261
0.22979,50.2296
0.233325,50.2331
0.23686,50.2366
0.240394,50.2402
0.243929,50.2437
0.247464,50.2472
0.250999,50.2508
0.254534,50.2543
0.258069,50.2578
0.261604,50.2613
0.265138,50.2649
0.268673,50.2684
0.272208,50.2719
0.275743,50.2755
0.279278,50.279
0.282812,50.2825
0.286347,50.286
0.289882,50.2896
0.293417,50.2931
0.296951,50.2966
0.300486,50.3001
0.304021,50.3037
0.307556,50.3072
0.31109,50.3107
0.314625,50.3142
0.31816,50.3178
0.321694,50.3213
0.325229,50.3248
0.328764,50.3284
0.332298,50.3319
0.335833,50.3354
0.339368,50.3389
0.342902,50.3425
0.346437,50.346
0.349971,50.3495
0.353506,50.353
0.35704,50.3566
0.360575,50.3601
0.36411,50.3636
0.367644,50.3671
0.371179,50.3707
0.374713,50.3742
0.378248,50.3777
0.381782,50.3812
0.385317,50.3848
0.388851,50.3883
0.392386,50.3918
0.39592,50.3953
0.399455,50.3988
0.402989,50.4024
0.406524,50.4059
0.410058,50.4094
0.413592,50.4129
0.417127,50.4165
0.420661,50.42
0.424196,50.4235
0.42773,50.427
0.431264,50.4306
0.434799,50.4341
0.438333,50.4376
0.441867,50.4411
0.445402,50.4446
0.448936,50.4482
0.45247,50.4517
0.456005,50.4552
0.459539,50.4587
0.463073,50.4623
0.466608,50.4658
0.470142,50.4693
0.473676,50.4728
0.47721,50.4763
0.480745,50.4799
0.484279,50.4834
0.487813,50.4869
0.491347,50.4904
0.494881,50.4939
0.498416,50.4975
0.50195,50.501
0.505484,50.5045
0.509018,50.508
0.512552,50.5116
0.516086,50.5151
0.519621,50.5186
0.523155,50.5221
0.526689,50.5256
0.530223,50.5292
0.533757,50.5327
0.537291,50.5362
0.540825,50.5397
0.544359,50.5432
0.547893,50.5467
0.551427,50.5503
0.554961,50.5538
0.558495,50.5573
0.562029,50.5608
0.565563,50.5643
0.569097,50.5679
0.572631,50.5714
0.576165,50.5749
0.579699,50.5784
0.583233,50.5819
0.586767,50.5855
0.590301,50.589
0.593835,50.5925
0.597369,50.596
0.600903,50.5995
0.604437,50.603
0.607971,50.6066
0.611505,50.6101
0.615039,50.6136
0.618572,50.6171
0.622106,50.6206
0.62564,50.6241
0.629174,50.6277
0.632708,50.6312
0.636242,50.6347
0.639775,50.6382
0.643309,50.6417
0.646843,50.6452
0.650377,50.6488
0.653911,50.6523
0.657444,50.6558
0.660978,50.6593
0.664512,50.6628
0.668046,50.6663
